Team,Win %,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck Allowed,SckY
Ravens,0.706,477,318,66.7,8.8,4189,41,4,119.4,199,41.7,56,14,84T,24,154
Lions,0.882,551,399,72.4,8.6,4718,39,12,112.6,242,43.9,62,11,82,33,244
Bengals,0.529,652,460,70.6,7.5,4918,43,9,108.5,253,38.8,49,12,70T,48,278
Buccaneers,0.588,571,408,71.4,7.9,4505,41,16,106.8,224,39.2,58,5,57T,40,248
Eagles,0.824,448,303,67.6,7.8,3517,24,6,103.4,168,37.5,49,12,67,45,323
Vikings,0.824,548,364,66.4,8,4379,35,12,102.9,210,38.3,64,10,97T,49,336
Commanders,0.706,525,365,69.5,7.5,3932,29,9,102.5,192,36.6,45,10,86T,50,267
Chargers,0.647,510,336,65.9,7.6,3901,23,3,101.4,176,34.5,54,7,66T,44,270
Bills,0.765,520,329,63.3,7.6,3938,30,6,100.8,181,34.8,56,11,69T,14,63
Packers,0.647,479,308,64.3,8.2,3939,28,11,99.8,171,35.7,59,14,70T,22,132
Steelers,0.588,499,321,64.3,7.2,3607,21,6,94.8,158,31.7,55,8,55T,49,343
Dolphins,0.471,591,413,69.9,6.8,4036,22,10,94.1,221,37.4,37,3,80T,43,299
Broncos,0.588,570,379,66.5,6.7,3808,30,12,94.1,172,30.2,52,6,93T,24,198
Rams,0.588,559,367,65.6,7.3,4096,22,9,93.7,192,34.4,51,7,69T,31,228
Cardinals,0.471,543,374,68.9,7.1,3859,21,11,93.5,191,35.2,43,3,60T,30,220
Chiefs,0.882,600,404,67.3,6.7,4046,26,11,93.1,219,36.5,42,4,54T,41,266
49ers,0.353,533,349,65.5,8.3,4424,23,16,93.1,204,38.3,66,11,76,36,187
Jets,0.294,607,385,63.4,6.6,4016,31,11,92,201,33.1,52,7,71,40,302
Seahawks,0.588,593,413,69.6,7.4,4379,21,16,91.4,211,35.6,51,4,71T,54,359
Bears,0.294,566,353,62.4,6.3,3552,20,7,86.8,172,30.4,40,6,47,68,466
Falcons,0.471,559,364,65.1,7.7,4283,21,19,86.6,198,35.4,54,8,60,32,215
Texans,0.588,570,357,62.6,6.9,3952,20,12,86.1,197,34.6,45,6,67T,54,426
Saints,0.294,551,340,61.7,6.8,3730,21,12,85.3,167,30.3,47,8,71,37,242
Patriots,0.235,529,342,64.6,6.3,3343,18,11,85,167,31.6,34,3,50,52,348
Cowboys,0.412,637,398,62.5,6.4,4092,23,14,83.8,192,30.1,47,7,65,38,230
Jaguars,0.235,546,343,62.8,6.8,3717,19,15,83,174,31.9,54,8,85,32,240
Raiders,0.235,635,410,64.6,6.5,4117,19,16,82.4,209,32.9,50,4,58,50,320
Panthers,0.294,547,341,62.3,6.2,3411,22,15,82,168,30.7,43,3,83T,36,223
Titans,0.176,530,336,63.4,6.8,3621,22,21,80.7,164,30.9,43,9,98T,52,304
Giants,0.176,591,366,61.9,6,3521,15,13,77.8,170,28.8,34,4,59T,48,293
Colts,0.471,513,289,56.3,7,3599,20,19,75.8,161,31.4,51,10,69,32,238
Browns,0.176,661,395,59.8,5.9,3879,19,23,71.4,180,27.2,39,4,89T,66,373
